Language Name	Glottocode	Specific Dialect	Offending segments	ReasonsForInclusion	Language Family	Macroarea
Xumi	shix1238	Lower Xumi	b dz d̠ʒ ɡ ʁ	Has spirantizing plosives; Voiced obs with no voiceless eq.	Sino-Tibetan	Eurasia
Cocos Malay	coco1260	Spoken in Kampung Cocos in the Lahad Datu district of Sabah, Malaysia	d ʁ	Voiced obs with no voiceless eq.	Austronesian	Papunesia
Laarim	nari1240	NA	ð ɖ	Voiced obs with no voiceless eq.	Surmic	Africa
Kumzari	kumz1235	Kumzari spoken in Khasab, Oman	ɦ	Voiced obs with no voiceless eq.	Indo-European	Eurasia
Greek	mode1248	Standard Modern Greek (Athenian)	b d̪ ɡ	Has spirantizing plosives	Indo-European	Eurasia
Tausug (Suluk)	taus1251	Jolo, Philippines	d	Voiced obs with no voiceless eq.	Austronesian	Papunesia
Spanish	stan1288	Castilian Spanish	d̻ ɟʝ ɟʝ ɡ	Has spirantizing plosives; Voiced obs with no voiceless eq.	Indo-European	Eurasia
Slovak	slov1269	Standard Slovak (Bratislava / Kos̆ice)	ɦ	Voiced obs with no voiceless eq.	Indo-European	Eurasia
Portuguese (European)	port1283	Lisbon	ʁ	Voiced obs with no voiceless eq.	Indo-European	Eurasia
Siwu	siwu1238	NA	ʕ	Voiced obs with no voiceless eq.	Atlantic-Congo	Africa
Soso	susu1250	NA	d̠ʒ	Voiced obs with no voiceless eq.	Mande	Africa
Abipon	abip1241	NA	ʁ	Voiced obs with no voiceless eq.	Guaicuruan	South America
Pilaga; Pilagá	pila1245	NA	d ɡ ʕ	Has spirantizing plosives; Voiced obs with no voiceless eq.	Guaicuruan	South America
Nuosu	sich1238	Nuosu (Black Yi)	ʒ̩	Voiced obs with no voiceless eq.	Sino-Tibetan	Eurasia
Mambila	came1252	Atta	d̠ʒ ɡ	Has spirantizing plosives	Atlantic-Congo	Africa
Awiya	awng1244	NA	b	Has spirantizing plosives	Afro-Asiatic	Africa
Luxembourgish	luxe1241	Standard central Luxembourgish	ʁ	Has both sonorous and voiceless allophone	Indo-European	Eurasia
Ts'amakko	tsam1247	NA	d̠ʒː	Voiced obs with no voiceless eq.	Afro-Asiatic	Africa
Arapesh	bumb1241	NA	dz d̪ ɡ	Voiced obs with no voiceless eq.	Nuclear Torricelli	Papunesia
Kpelle, North	guin1254	NA	dz	Voiced obs with no voiceless eq.	Mande	Africa
Judeo-Spanish	ladi1251	Istanbul Judeo-Spanish	b d̻ ɡ	Has spirantizing plosives	Indo-European	Eurasia
MIXTEC	sanm1295	NA	ð	Voiced obs with no voiceless eq.	Otomanguean	North America
KAREN	sgaw1245	NA	z͇ ɦ	Voiced obs with no voiceless eq.	Sino-Tibetan	Eurasia
NERA	nara1262	NA	d̠ʒ	Voiced obs with no voiceless eq.	isolate	Africa
Mundari	mund1320	NA	ˀd ˀd̠ʒ ˀɖ ˀɡ	Voiced obs with no voiceless eq.	Austroasiatic	Eurasia
Huastec	huas1242	Potosino dialect	b	Has spirantizing plosives	Mayan	North America
WOLOF	nucl1347	NA	ɟː	Voiced obs with no voiceless eq.	Atlantic-Congo	Africa
Kimaragang	kima1244	Tandek	d̠ʒ	Voiced obs with no voiceless eq.	Austronesian	Papunesia
English (British)	stan1293	Tyneside English (spoken in Newcastle)	d d	Has spirantizing plosives; Voiced obs with no voiceless eq.	Indo-European	Eurasia
Arabe	suda1236	NA	d̠ʒ d̠ʒː	Voiced obs with no voiceless eq.	Afro-Asiatic	Africa
English (British)	stan1293	Liverpool	b d ɡ	Has spirantizing plosives; Voiced obs with no voiceless eq.	Indo-European	Eurasia
English (Australian)	stan1293	NA	d d	Has both sonorous and voiceless allophone; Voiced obs with no voiceless eq.	Indo-European	Eurasia
ALEUT	aleu1260	NA	ð	Voiced obs with no voiceless eq.	Eskimo-Aleut	North America
Bashkir	bash1264	Bashkir (Standard)	ʁ	Voiced obs with no voiceless eq.	Turkic	Eurasia
Dutch	dutc1256	the dialect of Hasselt (belongs to the West-Limburgian dialect group)	d̠ʒ	Voiced obs with no voiceless eq.	Indo-European	Eurasia
BATAK	bata1289	NA	d̠ʒ	Voiced obs with no voiceless eq.	Austronesian	Papunesia
Cwaya	shwa1239	NA	ð	Voiced obs with no voiceless eq.	Heibanic	Africa
Tarok	taro1263	NA	dz	Voiced obs with no voiceless eq.	Atlantic-Congo	Africa
!Xun	kung1261	W2	d̠ʒː ɦ	Voiced obs with no voiceless eq.	Kxa	Africa
Pisamira	pisa1245	NA	ʝ	Voiced obs with no voiceless eq.	Tucanoan	South America
NORWEGIAN	norw1259	NA	d̪ ɖ ɡ	Voiced obs with no voiceless eq.	Indo-European	Eurasia
NEWARI	newa1246	NA	ɦ	Voiced obs with no voiceless eq.	Sino-Tibetan	Eurasia
Pero	pero1241	NA	b ɡ	Has spirantizing plosives	Afro-Asiatic	Africa
Dagbani	dagb1246	NA	ɡ	Has spirantizing plosives	Atlantic-Congo	Africa
Marwari	marw1260	NA	ʝ	Voiced obs with no voiceless eq.	Indo-European	Eurasia
Chiriguano	east2555	Izoceño dialect	ʝ	Voiced obs with no voiceless eq.	Tupian	South America
Joola Huluf	jola1262	NA	d̠ʒ	Voiced obs with no voiceless eq.	Atlantic-Congo	Africa
SENECA	sene1264	NA	d̪z̪|dz	Voiced obs with no voiceless eq.	Iroquoian	North America
Mokpwe	mokp1239	NA	d̠ʒ ʒ	Voiced obs with no voiceless eq.	Atlantic-Congo	Africa
Chiriguano	east2555	Chané dialect	ʝ	Voiced obs with no voiceless eq.	Tupian	South America
American English	stan1293	Southeastern Michigan	d ɡ	Voiced obs with no voiceless eq.	Indo-European	Eurasia
Fang	fang1248	NA	ʒ	Voiced obs with no voiceless eq.	Atlantic-Congo	Africa
Avá-Canoeiro	avac1239	NA	ʁ	Voiced obs with no voiceless eq.	Tupian	South America
Paraguayan Guaraní	para1311	NA	d̠ʒ ɣʷ	Voiced obs with no voiceless eq.	Tupian	South America
Umotína	umot1240	NA	z	Voiced obs with no voiceless eq.	Bororoan	South America
Koorete	koor1239	NA	d dz dː d̠ʒ ɡ	Voiced obs with no voiceless eq.	Ta-Ne-Omotic	Africa
Kare	kare1338	NA	d̠ʒ	Voiced obs with no voiceless eq.	Atlantic-Congo	Africa
Karajá	kara1500	NA	d	Voiced obs with no voiceless eq.	Nuclear-Macro-Je	South America
Jemez	jeme1245	NA	ɡ ɡʲ	Voiced obs with no voiceless eq.	Kiowa-Tanoan	North America
Otuho	otuh1238	NA	d	Voiced obs with no voiceless eq.	Nilotic	Africa
Andoke	ando1256	NA	ɟ	Voiced obs with no voiceless eq.	isolate	South America
Toba	toba1269	Takshek dialect	ʁ	Voiced obs with no voiceless eq.	Guaicuruan	South America
Pilagá	pila1245	NA	ʕ	Voiced obs with no voiceless eq.	Guaicuruan	South America
Sakha	yaku1245	Sakha (Standard)	ʁ	Voiced obs with no voiceless eq.	Turkic	Eurasia
Persian	west2369	NA	d ɡ	Voiced obs with no voiceless eq.	Indo-European	Eurasia
Günün Yajich	puel1244	NA	ɡ ʱd	Voiced obs with no voiceless eq.	isolate	South America
lega-shabunda	lega1249	beya	ɟ ɡ	Has spirantizing plosives; Voiced obs with no voiceless eq.	Atlantic-Congo	Africa
Hixkaryána	hixk1239	NA	dʲ	Voiced obs with no voiceless eq.	Cariban	South America
KAWAIISU	kawa1283	NA	ɣʷ	Voiced obs with no voiceless eq.	Uto-Aztecan	North America
Miraña	mira1254	Miraña	ɡʷ	Voiced obs with no voiceless eq.	Boran	South America
Slovak	slov1269	Slovak (Standard)	ɦ	Voiced obs with no voiceless eq.	Indo-European	Eurasia
Ngomba	ngom1272	NA	bv dz ɡ	Has spirantizing plosives	Atlantic-Congo	Africa
Urdu	urdu1245	NA	z	Voiced obs with no voiceless eq.	Indo-European	Eurasia
Urali	ural1274	NA	ð	Voiced obs with no voiceless eq.	Dravidian	Eurasia
Zapotec	loxi1235	Loxicha	z ɣʷ	Voiced obs with no voiceless eq.	Otomanguean	North America
Soːra	sora1254	NA	d ɟʝ	Voiced obs with no voiceless eq.	Austroasiatic	Eurasia
Nchufie	bafa1249	NA	ɣ	Voiced obs with no voiceless eq.	Atlantic-Congo	Africa
Kharia	khar1287	NA	ɦ	Voiced obs with no voiceless eq.	Austroasiatic	Eurasia
Indonesian	indo1316	Central Java	d	Voiced obs with no voiceless eq.	Austronesian	Papunesia
Mising	miny1240	NA	ɟʝ	Voiced obs with no voiceless eq.	Sino-Tibetan	NA
Gutob	bodo1267	NA	t̪̰	Voiced obs with no voiceless eq.	Austroasiatic	Eurasia
YORUBA	yoru1245	NA	d̠ʒ	Voiced obs with no voiceless eq.	Atlantic-Congo	Africa
Wolof	nucl1347	NA	dː d̠ʒː ɡː	Voiced obs with no voiceless eq.	Atlantic-Congo	Africa
Ouldeme	wuzl1236	NA	ɣʷ	Voiced obs with no voiceless eq.	Afro-Asiatic	Africa
Palauan	pala1344	NA	d̪	Has spirantizing plosives	Austronesian	Papunesia
Warluwarra	warl1256	NA	ʐ ʑ	Voiced obs with no voiceless eq.	Pama-Nyungan	Australia
Angas	ngas1240	NA	d d̠ʒ ɡ ɣ	Voiced obs with no voiceless eq.	Afro-Asiatic	Africa
Nara	nara1262	Higir	ɡ	Has spirantizing plosives	isolate	Africa
Hill Mari	west2392	Hill Mari (Kozmodemjansk)	ð̪̺	Voiced obs with no voiceless eq.	Uralic	Eurasia
Ikalanga	ikal1242	NA	bɡ d dzʷ dʷ d̠ʒ̤ ɦ	Voiced obs with no voiceless eq.	Atlantic-Congo	Africa
COFAN	cofa1242	NA	ʑ	Voiced obs with no voiceless eq.	isolate	South America
Modern Hebrew	hebr1245	NA	ʁ	Voiced obs with no voiceless eq.	Afro-Asiatic	Eurasia
Kashimiri	kash1277	NA	ɦ	Voiced obs with no voiceless eq.	Indo-European	Eurasia
YUKAGHIR	nort2745	NA	ʁ	Voiced obs with no voiceless eq.	Yukaghir	Eurasia
SOMALI	soma1255	NA	d̪ ɖ̰ ɡ ɢ	Voiced obs with no voiceless eq.	Afro-Asiatic	Africa
ASMAT	tamn1235	NA	ʝ	Voiced obs with no voiceless eq.	Nuclear Trans New Guinea	Papunesia
Bengali	beng1280	NA	b̤ d̠ʒ	Has spirantizing plosives	Indo-European	Eurasia
Santali	sant1410	NA	t̪̰	Voiced obs with no voiceless eq.	Austroasiatic	Eurasia
Nyam	nyam1285	NA	dʲ ɡɓ	Voiced obs with no voiceless eq.	Afro-Asiatic	Africa
TAMASHEQ	taha1241	NA	z̪ˤ	Voiced obs with no voiceless eq.	Afro-Asiatic	Africa
KOHUMONO	kohu1244	NA	ɡ ɡʷ	Voiced obs with no voiceless eq.	Atlantic-Congo	Africa
babole	dibo1245	NA	b	Has spirantizing plosives	Atlantic-Congo	Africa
Kharia	khar1287	NA	ɦ	Voiced obs with no voiceless eq.	Austroasiatic	Eurasia
Kensei Nsei	kens1251	NA	ʒ ʒʷ	Voiced obs with no voiceless eq.	Atlantic-Congo	Africa
Dutch	dutc1256	Belgian Standard Dutch	ɦ	Voiced obs with no voiceless eq.	Indo-European	Eurasia
PAIWAN	paiw1248	NA	ɖ	Voiced obs with no voiceless eq.	Austronesian	Papunesia
Huaylas	huay1240	NA	b d	Has spirantizing plosives	Quechuan	South America
Kharia	khar1287	NA	ɟʱ ɦ ˀɟ	Voiced obs with no voiceless eq.	Austroasiatic	Eurasia
Sinhalese	sinh1246	NA	b d ɡ ɦ	Has spirantizing plosives; Voiced obs with no voiceless eq.	Indo-European	Eurasia
German	stan1295	NA	d ɡ ʁ ʁ	Has both sonorous and voiceless allophone; Voiced obs with no voiceless eq.	Indo-European	Eurasia
YAWA	nucl1454	NA	d̠ʒ	Voiced obs with no voiceless eq.	Yawa-Saweru	Papunesia
Satawalese	sata1237	NA	ɡ	Has spirantizing plosives	Austronesian	Papunesia
ACOMA	west2632	NA	d̠ʒ d̪ d̪z̪ ɖʐ ɡ	Voiced obs with no voiceless eq.	Keresan	North America
Mboó	mboc1235	NA	d̠ʒ	Voiced obs with no voiceless eq.	Atlantic-Congo	Africa
IGBO	nucl1417	NA	d̠ʒ	Voiced obs with no voiceless eq.	Atlantic-Congo	Africa
Akan	akan1250	NA	d d ɟʝ ɟʝʷ ɡ	Has spirantizing plosives; Voiced obs with no voiceless eq.	Atlantic-Congo	Africa
KHASI	khas1269	NA	d̠ʒ	Voiced obs with no voiceless eq.	Austroasiatic	Eurasia
Tuva; Tuvan	tuvi1240	NA	ɡ	Has spirantizing plosives	Turkic	Eurasia
KANAKURU	dera1248	NA	ɮ	Voiced obs with no voiceless eq.	Afro-Asiatic	Africa
Kada	gida1247	Guidar	ɟ	Voiced obs with no voiceless eq.	Afro-Asiatic	Africa
Nkonya	nkon1248	NA	ɦ	Voiced obs with no voiceless eq.	Atlantic-Congo	Africa
Tarascan	pure1242	NA	b d ɡ	Has spirantizing plosives	Tarascan	North America
Ewe	ewee1241	NA	d̻ ɡ	Voiced obs with no voiceless eq.	Atlantic-Congo	Africa
Bangolan	bang1356	NA	ɡ	Has spirantizing plosives	Atlantic-Congo	Africa
Wambon	wamb1259	NA	d̠ʒ	Voiced obs with no voiceless eq.	Nuclear Trans New Guinea	Papunesia
FUR	furr1244	NA	d̠ʒ	Voiced obs with no voiceless eq.	Furan	Africa
Tagalog	taga1270	NA	b	Has spirantizing plosives	Austronesian	Papunesia
Kurtjar	gurd1238	NA	ð	Voiced obs with no voiceless eq.	Pama-Nyungan	Australia
Logo	logo1259	NA	b	Has spirantizing plosives	Central Sudanic	Africa
matuumbi	matu1259	NA	ɡ	Voiced obs with no voiceless eq.	Atlantic-Congo	Africa
BEJA	beja1238	NA	d̠ʒ	Voiced obs with no voiceless eq.	Afro-Asiatic	Africa
Portuguese	port1283	Portuguese (Estremenho)	ʁ	Voiced obs with no voiceless eq.	Indo-European	Eurasia
BURUSHASKI	buru1296	NA	ʐ͇	Voiced obs with no voiceless eq.	isolate	Eurasia
ALAMBLAK	alam1246	NA	d ɡ	Voiced obs with no voiceless eq.	Sepik	Papunesia
Inuit	kala1399	NA	ʁ ʝ	Voiced obs with no voiceless eq.	Eskimo-Aleut	Eurasia
Turkish	nucl1301	NA	d d̠ʒ ɡ	Voiced obs with no voiceless eq.	Turkic	Eurasia
ngwe	ngwe1238	NA	ɡ	Has spirantizing plosives	Atlantic-Congo	Africa
ARRERNTE	east2379	NA	d̠ⁿ d̪ⁿ dⁿ ɖⁿ ɡⁿ	Voiced obs with no voiceless eq.	Pama-Nyungan	Australia
Apinaye	apin1244	NA	ʒ	Voiced obs with no voiceless eq.	Nuclear-Macro-Je	South America
Basari	ntch1242	NA	d d̠ʒ ɡ	Voiced obs with no voiceless eq.	Atlantic-Congo	Africa
BOBO-FING	nort2819	NA	d ɡ	Voiced obs with no voiceless eq.	Mande	Africa
Nawdm	nawd1238	NA	d̠ʒ	Voiced obs with no voiceless eq.	Atlantic-Congo	Africa
Baka	baka1272	NA	d̠ʒ	Voiced obs with no voiceless eq.	Atlantic-Congo	Africa
Somali	soma1255	NA	b d dː ɡ ɡ ɡː ɢ ɢ ɢː ᶑ	Has both sonorous and voiceless allophone; Has spirantizing plosives; Voiced obs with no voiceless eq.	Afro-Asiatic	Africa
Dagara	nort2780	NA	ɡ	Has spirantizing plosives	Atlantic-Congo	Africa
Thaadou	thad1238	NA	ɦ	Voiced obs with no voiceless eq.	Sino-Tibetan	Eurasia
ABIPON	abip1241	NA	ʁ	Voiced obs with no voiceless eq.	Guaicuruan	South America
Totela	tote1238	NA	d̠ʒ ɣʷ	Voiced obs with no voiceless eq.	Atlantic-Congo	Africa
Krenak	kren1239	NA	ʒ	Voiced obs with no voiceless eq.	Nuclear-Macro-Je	South America
Antiguan Creole	anti1245	NA	b	Has spirantizing plosives	Indo-European	North America
Wapishana	wapi1253	NA	d dˀ dˀ ɡ	Has both sonorous and voiceless allophone; Voiced obs with no voiceless eq.	Arawakan	South America
Nagamese	naga1394	NA	bʱ	Has spirantizing plosives	Indo-European	Eurasia
Breton	bret1244	NA	d ɡ	Voiced obs with no voiceless eq.	Indo-European	Eurasia
Burji	burj1242	NA	ɡ	Voiced obs with no voiceless eq.	Afro-Asiatic	Africa
Nigerian Pidgin	nige1257	NA	b d ɡ	Has spirantizing plosives; Has both sonorous and voiceless allophone	Indo-European	Africa
Ahanta	ahan1243	NA	b ɡʷ	Has spirantizing plosives; Voiced obs with no voiceless eq.	Atlantic-Congo	Africa
Balese	lese1243	NA	dʷ	Voiced obs with no voiceless eq.	Central Sudanic	Africa
Georgian	nucl1302	NA	β	Has both sonorous and voiceless allophone	Kartvelian	Eurasia
Barein (Jalkiya)	bare1279	Jalkiya	ɟː	Voiced obs with no voiceless eq.	Afro-Asiatic	Africa
Southwestern Pashto	sout2436	Southwestern Pashto (Kandahar)	dz d̠ʒ d̪ ɖ ɡ	Voiced obs with no voiceless eq.	Indo-European	Eurasia
Godoberi	ghod1238	NA	d d̠ʒ ɡ	Voiced obs with no voiceless eq.	Nakh-Daghestanian	Eurasia
HUAVE	sanm1287	NA	z̪͇|z͇	Voiced obs with no voiceless eq.	Huavean	North America
Belanda Viri	bela1255	NA	d̠ʒ	Voiced obs with no voiceless eq.	Atlantic-Congo	Africa
Urii	urii1240	NA	ɡ	Has spirantizing plosives	Nuclear Trans New Guinea	Papunesia
Yuqui	yuqu1240	NA	ʝ	Voiced obs with no voiceless eq.	Tupian	South America
DYIRBAL	dyir1250	NA	d ɡ	Voiced obs with no voiceless eq.	Pama-Nyungan	Australia
Kom	komc1235	NA	ɣʲ	Voiced obs with no voiceless eq.	Atlantic-Congo	Africa
Bongo	bong1285	NA	b ɡ	Has spirantizing plosives	Central Sudanic	Africa
Wichita	wich1260	NA	ɦ	Voiced obs with no voiceless eq.	Caddoan	North America
Ladakhi	lada1244	NA	b d̪ ɡ ɮ	Has spirantizing plosives; Voiced obs with no voiceless eq.	Sino-Tibetan	Eurasia
CHUKCHI	chuk1273	NA	ʐ͇	Voiced obs with no voiceless eq.	Chukotko-Kamchatkan	Eurasia
IRISH	iris1253	NA	d ɡ ɡʲ	Voiced obs with no voiceless eq.	Indo-European	Eurasia
Mbodomo; Mbódɔ̀mɔ́	gbay1281	NA	ɡ	Has spirantizing plosives	Atlantic-Congo	Africa
Krio	krio1253	NA	ʁ	Voiced obs with no voiceless eq.	Indo-European	Africa
Ndonga (Eunda)	ndon1254	Eunda	dʲ	Voiced obs with no voiceless eq.	Atlantic-Congo	Africa
Mvumbo	mvum1238	NA	b ɡ	Has spirantizing plosives	Atlantic-Congo	Africa
San Bartolomé Zoogocho Zapotec	zoog1238	zxon	ʁ	Voiced obs with no voiceless eq.	Otomanguean	North America
Yuma	quec1382	NA	ð	Voiced obs with no voiceless eq.	Cochimi-Yuman	North America
Korafe	kora1295	NA	d d̠ʒ ɡ ɣ	Voiced obs with no voiceless eq.	Nuclear Trans New Guinea	Papunesia
NGANASAN	ngan1291	NA	ð	Voiced obs with no voiceless eq.	Uralic	Eurasia
AMELE	amel1241	NA	ʝ	Voiced obs with no voiceless eq.	Nuclear Trans New Guinea	Papunesia
georgian	nucl1302	Standard (or literary) georgian (Kartluri dialect)	d̪ ɡ	Voiced obs with no voiceless eq.	Kartvelian	Eurasia
!Xóõ	huaa1248	NA	ɟ	Voiced obs with no voiceless eq.	Tuu	Africa
Yukaghir (Kolyma)	sout2750	Southern	d̠ʒ ʁ	Has spirantizing plosives; Voiced obs with no voiceless eq.	Yukaghir	Eurasia
Afrikaans	afri1274	NA	ɦ	Voiced obs with no voiceless eq.	Indo-European	Africa
Xumi	shix1238	Upper Xumi	b dz ɖʐ	Has both sonorous and voiceless allophone; Has spirantizing plosives	Sino-Tibetan	Eurasia
Bubia	bubi1249	NA	ʒ	Voiced obs with no voiceless eq.	Bookkeeping	Africa
Albanian	tosk1239	NA	ɟʝ	Has spirantizing plosives	Indo-European	Eurasia
Hup	hupd1244	NA	b̰ d̰ ɟ̰̩ ɡ̰	Has both sonorous and voiceless allophone	Nadahup	South America
Hoava	hoav1238	NA	d̠ʒ	Voiced obs with no voiceless eq.	Austronesian	Papunesia
Kaliai	kali1299	NA	ɡɣ	Voiced obs with no voiceless eq.	Austronesian	Papunesia
Efutu	efut1241	NA	dᶣ	Voiced obs with no voiceless eq.	Atlantic-Congo	Africa
GA	gaaa1244	NA	d d̠ʒ ɡ	Voiced obs with no voiceless eq.	Atlantic-Congo	Africa
Toba (Argentina)	toba1269	NA	d ɡ	Voiced obs with no voiceless eq.	Guaicuruan	South America
Upper Sorbian	uppe1395	NA	z̪ʲ	Voiced obs with no voiceless eq.	Indo-European	Eurasia
Yemsa	yems1235	NA	b ɡ	Has spirantizing plosives	Ta-Ne-Omotic	Africa
Awetí	awet1244	NA	ʐ	Voiced obs with no voiceless eq.	Tupian	South America
Tilquiapan Zapotec	tilq1235	NA	b d̪ ɡ	Has spirantizing plosives	Otomanguean	North America
BAI	cent2004	NA	z̪	Voiced obs with no voiceless eq.	Sino-Tibetan	Eurasia
Cheremis	east2328	NA	b d̪ ɡ	Has spirantizing plosives	Uralic	Eurasia
Nsoʼ	lamn1239	NA	b ɣv	Has spirantizing plosives; Voiced obs with no voiceless eq.	Atlantic-Congo	Africa
Saotomense	saot1239	NA	z ʒ	Voiced obs with no voiceless eq.	Indo-European	Africa
Karo	karo1306	NA	b ɡ	Has spirantizing plosives	Tupian	South America
mongo-nkundu	mong1338	NA	d̠ʒ d̠ʒʷ	Voiced obs with no voiceless eq.	Atlantic-Congo	Africa
RUTUL	rutu1240	NA	d̠ʒ d̠ʒʷ d̪z̪|dz d̪|d ɡ ɡʷ ɢ ɢʷ ɢʷˤ ɢˤ	Voiced obs with no voiceless eq.	Nakh-Daghestanian	Eurasia
Manya	many1261	NA	d̠ʒ	Voiced obs with no voiceless eq.	Mande	Africa
Kashmiri	kash1277	NA	ɦ	Voiced obs with no voiceless eq.	Indo-European	Eurasia
Sipakapense Maya	sipa1247	NA	t̠ʃ̰	Voiced obs with no voiceless eq.	Mayan	North America
Tepehua	tlac1235	NA	t̠ʃ̰	Voiced obs with no voiceless eq.	Totonacan	North America
Arandai	aran1237	NA	ɟ	Voiced obs with no voiceless eq.	South Bird's Head Family	Papunesia
Japanese	nucl1643	Japanese (Tokyo or other areas with similar pitch accent systems)	ɡ	Has spirantizing plosives	Japonic	Eurasia
Lukundu	orok1266	NA	b	Has spirantizing plosives	Atlantic-Congo	Africa
Uyghur	uigh1240	Uyghur (Xinjiang)	ʁ	Voiced obs with no voiceless eq.	Turkic	Eurasia
Telugu	telu1262	NA	d ɦ	Has spirantizing plosives; Voiced obs with no voiceless eq.	Dravidian	Eurasia
Ostyak	khan1273	NA	ɣ	Voiced obs with no voiceless eq.	Uralic	Eurasia
Logba	logb1245	NA	ɦ	Voiced obs with no voiceless eq.	Atlantic-Congo	Africa
Tunica	tuni1252	NA	d ɡ	Voiced obs with no voiceless eq.	isolate	North America
Boro	boro1277	NA	b d ɡ	Has spirantizing plosives; Voiced obs with no voiceless eq.	Ta-Ne-Omotic	Africa
Kpɛlɛwoo	guin1254	NA	dʲ	Voiced obs with no voiceless eq.	Mande	Africa
Suri	suri1267	Tirmaga	b ɡ	Has spirantizing plosives	Surmic	Africa
GUARANI	para1311	NA	ð	Voiced obs with no voiceless eq.	Tupian	South America
Gadsup	gads1258	NA	d	Voiced obs with no voiceless eq.	Nuclear Trans New Guinea	Papunesia
Punjabi	panj1256	NA	ɦ	Voiced obs with no voiceless eq.	Indo-European	Eurasia
Hindi-Urdu	hind1269	NA	ɦ ʒ	Voiced obs with no voiceless eq.	Indo-European	Eurasia
Oromo, Eastern	east2652	Harar	d dː ɡ	Voiced obs with no voiceless eq.	Afro-Asiatic	Africa
Huichol	huic1243	NA	ʐ	Voiced obs with no voiceless eq.	Uto-Aztecan	North America
Wolof	nucl1347	NA	ɟː	Voiced obs with no voiceless eq.	Atlantic-Congo	Africa
LAK	lakk1252	NA	d̪|d ɡ ɢ ɢʷ	Voiced obs with no voiceless eq.	Nakh-Daghestanian	Eurasia
Japanese	nucl1643	NA	d̠ʒ	Has spirantizing plosives	Japonic	Eurasia
Belait	bela1260	Metting	ʁ	Voiced obs with no voiceless eq.	Austronesian	Papunesia
Lebanese Arabic	liby1240	NA	ðˠ	Voiced obs with no voiceless eq.	Afro-Asiatic	Africa
mada	mada1282	NA	d ɡ	Voiced obs with no voiceless eq.	Atlantic-Congo	Africa
Mbiywom	mbiy1238	NA	ð ɣ	Voiced obs with no voiceless eq.	Pama-Nyungan	Australia
Wan	wann1242	NA	ɓ	Has spirantizing plosives	Mande	Africa
MBABARAM	mbab1239	NA	d̠ d̪|d ɡ ɡʷ	Voiced obs with no voiceless eq.	Pama-Nyungan	Australia
AWIYA	awng1244	NA	ɖ	Voiced obs with no voiceless eq.	Afro-Asiatic	Africa
Frafra	fraf1238	Gudeni	ɡ ɡ	Has spirantizing plosives; Voiced obs with no voiceless eq.	Atlantic-Congo	Africa
SINHALESE	sinh1246	NA	ɦ	Voiced obs with no voiceless eq.	Indo-European	Eurasia
Ibibio	ibib1240	Uruan area and Uyo	b d	Has spirantizing plosives; Voiced obs with no voiceless eq.	Atlantic-Congo	Africa
YANA	yana1271	NA	d̠ʒ d̪ ɡ	Voiced obs with no voiceless eq.	isolate	North America
Amharic	amha1245	NA	b	Has spirantizing plosives	Afro-Asiatic	Africa
Kaiwá	kaiw1246	NA	d̠ʒ	Voiced obs with no voiceless eq.	Tupian	South America
Xavánte	xava1240	NA	ɣ	Voiced obs with no voiceless eq.	Nuclear-Macro-Je	South America
Jamsay, Dogon	jams1239	NA	d ɡ ɡ	Has spirantizing plosives; Voiced obs with no voiceless eq.	Dogon	Africa
Kalabari; Kirike; Kalabari-Ijo	kala1381	Kalabari-Ijo	d̠ʒ ɦ	Voiced obs with no voiceless eq.	Ijoid	Africa
Garo	garo1247	NA	d ɡ ɡ	Has spirantizing plosives; Voiced obs with no voiceless eq.	Sino-Tibetan	Eurasia
Tigre	tigr1270	NA	d d̠ʒ ɡ	Voiced obs with no voiceless eq.	Afro-Asiatic	Africa
Mbara	mbar1254	NA	ð ʑ	Voiced obs with no voiceless eq.	Pama-Nyungan	Australia
Dongwang Tibetan	kham1282	NA	ɮ	Voiced obs with no voiceless eq.	Sino-Tibetan	Eurasia
Kanga (Kufa)	kang1288	Kufa	ɟː	Voiced obs with no voiceless eq.	Kadugli-Krongo	Africa
Logbara	lugb1240	NA	ˀd̪	Voiced obs with no voiceless eq.	Central Sudanic	Africa
Luo	luok1236	NA	d d̠ʒ d̠ʒ d̪ð ɡ	Has spirantizing plosives; Voiced obs with no voiceless eq.	Nilotic	Africa
DOGON	toro1252	NA	d̠ʒ	Voiced obs with no voiceless eq.	Dogon	Africa
Eloyi	eloy1241	NA	b d̠ʒ d̠ʒ	Has spirantizing plosives; Voiced obs with no voiceless eq.	Atlantic-Congo	Africa
Spanish	stan1288	Spanish (Castilian)	ɟʝ	Voiced obs with no voiceless eq.	Indo-European	Eurasia
Gaahmg	gaam1241	NA	dː d̪ː ɟː ɡː	Voiced obs with no voiceless eq.	Eastern Jebel	Africa
FIJIAN	fiji1243	NA	ð	Voiced obs with no voiceless eq.	Austronesian	Papunesia
Mbo (Ekanang)	mboc1235	Ekanang	ɟ	Voiced obs with no voiceless eq.	Atlantic-Congo	Africa
Assamese	assa1263	NA	ɦ	Voiced obs with no voiceless eq.	Indo-European	Eurasia
MAZATEC	chiq1250	NA	ð	Voiced obs with no voiceless eq.	Otomanguean	North America
Khasi	khas1269	NA	ɟʝ ɟ̤ʝ	Voiced obs with no voiceless eq.	Austroasiatic	Eurasia
