Language Name	Glottocode	Specific Dialect	Offending segments	ReasonsForInclusion	Language Family	Macroarea
Buol	buol1237	NA	d d̠ʒ	Voiced obs with no voiceless eq.	Austronesian	Papunesia
Tiba	gaaa1245	NA	d̠ʒ ɟ	Voiced obs with no voiceless eq.	Atlantic-Congo	Africa
Balti	balt1258	NA	ɮ	Voiced obs with no voiceless eq.	Sino-Tibetan	Eurasia
Ogh Awarrangg	kawa1290	NA	ð ɣ	Voiced obs with no voiceless eq.	Pama-Nyungan	Australia
Talasa	tumt1243	NA	d̪ d̪ː ɖ ɖː ɡ ɡː	Voiced obs with no voiceless eq.	Kadugli-Krongo	Africa
Baima	baim1244	NA	ɦ	Voiced obs with no voiceless eq.	Sino-Tibetan	Eurasia
Suruahá	suru1263	NA	d̠ʒ	Voiced obs with no voiceless eq.	Arawan	South America
Aghem	aghe1239	NA	d ɡ ɣ	Voiced obs with no voiceless eq.	Atlantic-Congo	Africa
USAN	usan1239	NA	ɡ	Voiced obs with no voiceless eq.	Nuclear Trans New Guinea	Papunesia
Vame	vame1236	NA	ɣʷ	Voiced obs with no voiceless eq.	Afro-Asiatic	Africa
Befang	befa1241	NA	ʒ	Voiced obs with no voiceless eq.	Atlantic-Congo	Africa
KUNIMAIPA	kuni1267	NA	d̪	Voiced obs with no voiceless eq.	Goilalan	Papunesia
Mbodomo	gbay1281	NA	ɡ	Has spirantizing plosives	Atlantic-Congo	Africa
Gimira	benc1235	Benchnon	ɡʷ	Voiced obs with no voiceless eq.	Ta-Ne-Omotic	Africa
Shupamem	bamu1253	NA	b d d̠ʒ d̠ʒ	Has both sonorous and voiceless allophone; Has spirantizing plosives; Voiced obs with no voiceless eq.	Atlantic-Congo	Africa
KOTA	kota1263	NA	d d̠ʒ ɡ	Voiced obs with no voiceless eq.	Dravidian	Eurasia
Bhili	bhil1251	NA	ɟ̤ʝ	Voiced obs with no voiceless eq.	Indo-European	Eurasia
AVAR	avar1256	NA	d̪|d ɡ ʕ̝	Voiced obs with no voiceless eq.	Nakh-Daghestanian	Eurasia
Ket	kett1243	NA	b ʝ	Has spirantizing plosives; Voiced obs with no voiceless eq.	Yeniseian	Eurasia
Ambele	ambe1247	NA	d̠ʒʷ ɡʲ	Voiced obs with no voiceless eq.	Atlantic-Congo	Africa
Adzera	adze1240	NA	d dz ɡ	Voiced obs with no voiceless eq.	Austronesian	Papunesia
Buli	buli1254	NA	ɡ	Has spirantizing plosives	Atlantic-Congo	Africa
Murle	murl1244	NA	z	Voiced obs with no voiceless eq.	Surmic	Africa
IRAQW	iraq1241	NA	ʕ̝	Voiced obs with no voiceless eq.	Afro-Asiatic	Africa
Grebo	nort2810	NA	dz	Voiced obs with no voiceless eq.	Atlantic-Congo	Africa
French	stan1290	French (Parisian speaker)	ʁ	Voiced obs with no voiceless eq.	Indo-European	Eurasia
Agaw	qima1242	NA	b d	Has spirantizing plosives; Voiced obs with no voiceless eq.	Afro-Asiatic	Africa
Tukang Besi	tuka1248	Wanci, Kaledupa	d̠ʒ β	Has both sonorous and voiceless allophone; Voiced obs with no voiceless eq.	Austronesian	Papunesia
Ngishe	ngos1238	NA	ɡʱ	Voiced obs with no voiceless eq.	Atlantic-Congo	Africa
Skou	nucl1634	NA	b	Has spirantizing plosives	Sko	Papunesia
Nuer	nuer1246	NA	ɦ	Voiced obs with no voiceless eq.	Nilotic	Africa
Konni	konn1242	NA	b ɡ	Has spirantizing plosives	Atlantic-Congo	Africa
Arbore	arbo1245	NA	d̠ʒ d̠ʒː d̪ d̪ː ɡ ɡː	Voiced obs with no voiceless eq.	Afro-Asiatic	Africa
Chechen	chec1245	NA	z ʒ	Voiced obs with no voiceless eq.	Nakh-Daghestanian	Eurasia
Italian	ital1282	Standard Italian	ʒ	Voiced obs with no voiceless eq.	Indo-European	Eurasia
Furu	furu1242	NA	ʒ	Voiced obs with no voiceless eq.	Central Sudanic	Africa
Karen	sgaw1245	NA	ɦ	Voiced obs with no voiceless eq.	Sino-Tibetan	Eurasia
Tuvan	tuvi1240	Tuvan (Standard)	ɡ ɣ	Voiced obs with no voiceless eq.	Turkic	Eurasia
Ndra'ngith	ndra1239	NA	ð	Voiced obs with no voiceless eq.	Pama-Nyungan	Australia
MARI	east2328	NA	ð	Voiced obs with no voiceless eq.	Uralic	Eurasia
Twampa	uduk1239	NA	d̠ʒ	Voiced obs with no voiceless eq.	Koman	Africa
Hill Guang	cher1271	Gwa	d̪ ɡ	Voiced obs with no voiceless eq.	Atlantic-Congo	Africa
Assamese	assa1263	Eastern districts of Assam (North Eastern state of India); Jorhat	b	Has spirantizing plosives	Indo-European	Eurasia
Ga	gaaa1244	NA	d d̠ʒ ɡ	Voiced obs with no voiceless eq.	Atlantic-Congo	Africa
TIGAK	tiga1245	NA	ɮ	Voiced obs with no voiceless eq.	Austronesian	Papunesia
Dime	dime1235	NA	b	Has spirantizing plosives	South Omotic	Africa
Copi	copi1238	NA	d̤ɮ̤ ɦ̤	Voiced obs with no voiceless eq.	Atlantic-Congo	Africa
Kabiye	kabi1261	Somdina	d ɖ ɡ	Has both sonorous and voiceless allophone; Voiced obs with no voiceless eq.	Atlantic-Congo	Africa
Kusunda	kusu1250	NA	b dz ɡ ɢ	Has spirantizing plosives	isolate	Eurasia
Popoluca de Sayula	sayu1241	NA	ɡ	Voiced obs with no voiceless eq.	Mixe-Zoque	North America
Shixing	shix1238	NA	z̩	Voiced obs with no voiceless eq.	Sino-Tibetan	Eurasia
Mocovi	moco1246	NA	d̠ʒ ʁ	Has spirantizing plosives; Voiced obs with no voiceless eq.	Guaicuruan	South America
Bakaka (Babong)	baka1273	Babong	ɡ	Voiced obs with no voiceless eq.	Atlantic-Congo	Africa
Kabardian	kaba1278	Kabardian (Turkish)	d ɡʲ ɡʷ	Voiced obs with no voiceless eq.	Abkhaz-Adyge	Eurasia
Ndonga (Kolonkadhi)	ndon1254	Kolonkadhi	dʲ	Voiced obs with no voiceless eq.	Atlantic-Congo	Africa
Basque	basq1248	NA	b d ɟ ɡ	Has spirantizing plosives	isolate	Eurasia
ITELMEN	itel1242	NA	ʝ	Voiced obs with no voiceless eq.	Chukotko-Kamchatkan	Eurasia
Gouro	guro1248	NA	dʲ	Voiced obs with no voiceless eq.	Mande	Africa
Wazirwola	cent1973	Wazirwola (North Wazīrī)	dz d̪ ɖ ɡ	Voiced obs with no voiceless eq.	Indo-European	Eurasia
Swedish	swed1254	Stockholm	ʝ	Voiced obs with no voiceless eq.	Indo-European	Eurasia
myene	myen1241	NA	ɡ	Has spirantizing plosives	Atlantic-Congo	Africa
Birifor	sout2790	NA	d	Has both sonorous and voiceless allophone	Atlantic-Congo	Africa
Coeur d''Alene'	coeu1236	NA	ʕ ʕʷ	Voiced obs with no voiceless eq.	Salishan	North America
Isaka	kris1246	NA	b	Has spirantizing plosives	Sko	Papunesia
Fuliiru	fuli1240	NA	d̠ʒ	Voiced obs with no voiceless eq.	Atlantic-Congo	Africa
Lele	lele1266	NA	d̠ʒ	Voiced obs with no voiceless eq.	Mande	Africa
Khasi	khas1269	NA	d̠ʒ	Voiced obs with no voiceless eq.	Austroasiatic	Eurasia
Danish	dani1285	NA	ʁ	Voiced obs with no voiceless eq.	Indo-European	Eurasia
Burushaski	buru1296	NA	d̠ʒ ɖʐ	Has spirantizing plosives	isolate	Eurasia
Iten	eten1239	NA	dʷʲ ɡʷ ɡʷʲ	Voiced obs with no voiceless eq.	Atlantic-Congo	Africa
EKARI	ekar1243	NA	ɡˡ	Voiced obs with no voiceless eq.	Nuclear Trans New Guinea	Papunesia
Karaim	kara1464	Karaim (Northwestern)	d dʲ ɡ ɡʲ	Voiced obs with no voiceless eq.	Turkic	Eurasia
Spokan	spok1245	NA	k̰ʷ q̰ʷ t̠ʃ̰ ʕ ʕʷ ʕ̰ ʕ̰ʷ	Voiced obs with no voiceless eq.	Salishan	North America
IVATAN	ivat1242	NA	d	Voiced obs with no voiceless eq.	Austronesian	Papunesia
Mwotlap	motl1237	NA	ɣ	Voiced obs with no voiceless eq.	Austronesian	Papunesia
Kadugli (Kadugli)	katc1249	Kadugli	ɟː	Voiced obs with no voiceless eq.	Kadugli-Krongo	Africa
Maay	maay1238	Lower Jubba	b d d̠ʒ ɡ	Has spirantizing plosives; Voiced obs with no voiceless eq.	Afro-Asiatic	Africa
Mbay	mbay1241	NA	d̠ʒ	Voiced obs with no voiceless eq.	Central Sudanic	Africa
KEWA	east2516	NA	ɡ	Voiced obs with no voiceless eq.	Nuclear Trans New Guinea	Papunesia
Tadaksahak	tada1238	NA	zː	Voiced obs with no voiceless eq.	Songhay	Africa
kwezo	kwes1244	NA	d d̠ʒ ɡ	Voiced obs with no voiceless eq.	Atlantic-Congo	Africa
Waurá	waur1244	NA	ʒ	Voiced obs with no voiceless eq.	Arawakan	South America
Otomi	mezq1235	NA	b d ɡ	Has spirantizing plosives	Otomanguean	North America
English	stan1293	English (RP)	d ɡ	Voiced obs with no voiceless eq.	Indo-European	Eurasia
Igbo	nucl1417	Standard Igbo (can be seen as a fusion of aspects of central Igbo and Onitsha Igbo; cannot be localised in any particular region or area of Igboland)	b ɦ	Has spirantizing plosives; Voiced obs with no voiceless eq.	Atlantic-Congo	Africa
Irish Gaelic	iris1253	NA	d ɡ ɡ̟	Voiced obs with no voiceless eq.	Indo-European	Eurasia
Tashlhiyt Berber	tach1250	NA	ʁ ʁʷ ʁʷː ʁː ʒˤː ʕ ʕː	Has both sonorous and voiceless allophone; Voiced obs with no voiceless eq.	Afro-Asiatic	Africa
Armenian	nucl1235	NA	ʐ͇	Has both sonorous and voiceless allophone	Indo-European	Eurasia
Chukchi	chuk1273	NA	ʐ͇	Voiced obs with no voiceless eq.	Chukotko-Kamchatkan	Eurasia
Samba Leko	samb1305	NA	d̠ʒ ɡ	Has spirantizing plosives; Voiced obs with no voiceless eq.	Atlantic-Congo	Africa
IATE	fuln1247	NA	ɦ	Voiced obs with no voiceless eq.	isolate	South America
Buriat	russ1264	Buriat (Standard)	dʲ d̺ ɡʲ ɢ	Voiced obs with no voiceless eq.	Mongolic	Eurasia
Swahili	swah1253	NA	ʄ	Has spirantizing plosives	Atlantic-Congo	Africa
Jarawara	jama1261	Jarawara	ɟ	Voiced obs with no voiceless eq.	Arawan	South America
Awu Alaya	thay1248	NA	ð ɣ	Voiced obs with no voiceless eq.	Pama-Nyungan	Australia
DIEGUENO	kumi1248	NA	ɮ̪	Voiced obs with no voiceless eq.	Cochimi-Yuman	North America
Holoholo	holo1240	NA	d d̠ʒ ɡ	Has spirantizing plosives; Voiced obs with no voiceless eq.	Atlantic-Congo	Africa
Mingrelian	ming1252	Mingrelian (Senaki)	d̪ ɡ	Voiced obs with no voiceless eq.	Kartvelian	Eurasia
Comox	como1259	NA	k̰ʷ q̰ʷ t̠ʃ̰	Voiced obs with no voiceless eq.	Salishan	North America
Nepali	nepa1254	Standard (eastern)	ɦ	Voiced obs with no voiceless eq.	Indo-European	Eurasia
Gunwinggu	gunw1252	NA	dʲ d̪ ɖ ɡ	Voiced obs with no voiceless eq.	Gunwinyguan	Australia
BATS	bats1242	NA	d̠ʒ d̪ d̪z̪ ɡ ʕ̝	Voiced obs with no voiceless eq.	Nakh-Daghestanian	Eurasia
EWE	ewee1241	NA	d̪ ɡ	Voiced obs with no voiceless eq.	Atlantic-Congo	Africa
Atayal	atay1247	NA	ʒ	Voiced obs with no voiceless eq.	Austronesian	Papunesia
Jur mödö	jurm1239	NA	ɗʒ	Voiced obs with no voiceless eq.	Central Sudanic	Africa
Kpelle	libe1247	NA	ɡ̩ʷ	Voiced obs with no voiceless eq.	Mande	Africa
Israeli Hebrew	hebr1245	NA	ʁ	Voiced obs with no voiceless eq.	Afro-Asiatic	Eurasia
Rigwe	irig1241	NA	ðʲ ˀɡʷ	Voiced obs with no voiceless eq.	Atlantic-Congo	Africa
QUECHUA	sout2991	NA	ð	Voiced obs with no voiceless eq.	Quechuan	South America
Bhele	bhel1238	NA	d̠ʒ	Voiced obs with no voiceless eq.	Atlantic-Congo	Africa
IRARUTU	irar1238	NA	ʝ	Voiced obs with no voiceless eq.	Austronesian	Papunesia
Koreguaje	kore1283	NA	d̠ʒ	Voiced obs with no voiceless eq.	Tucanoan	South America
ARABIC	egyp1253	NA	d̠ʒ	Voiced obs with no voiceless eq.	Afro-Asiatic	Africa
Reunionnais	reun1238	NA	ʁ	Voiced obs with no voiceless eq.	Indo-European	Africa
Tukita	kara1474	NA	d d̠ʒ ɡ	Voiced obs with no voiceless eq.	Nakh-Daghestanian	Eurasia
Akha	akha1245	NA	d̠ʒ	Voiced obs with no voiceless eq.	Sino-Tibetan	Eurasia
Mocoví	moco1246	NA	ʁ	Voiced obs with no voiceless eq.	Guaicuruan	South America
XIAMEN	minn1241	NA	d̠ʒ	Voiced obs with no voiceless eq.	Sino-Tibetan	Eurasia
