LanguageName	Glottocode	SpecificDialect	OffendingSegments	ReasonsForInclusion
WICHITA	wich1260	NA	ɦ	Voiced obs with no voiceless eq.
Lake Miwok; Miwok (Lake)	lake1258	NA	d	Voiced obs with no voiceless eq.
Washo	wash1253	NA	dz t̰s̰	Voiced obs with no voiceless eq.
Savara	sora1254	NA	d̪ d̪	Has both sonorous and voiceless allophone; Has spirantizing plosives
Tatana''; Tatanaq; Tatana'	tata1257	NA	d̠ʒ	Voiced obs with no voiceless eq.
Tigemaxo Bozo	tiey1235	NA	d ɡ	Voiced obs with no voiceless eq.
Yorouba	yoru1245	Yorouba (Benin)	d̠ʒ	Voiced obs with no voiceless eq.
Ngombale	ngom1271	NA	ɡʷ	Voiced obs with no voiceless eq.
AKAN	akan1250	NA	d ɡ	Voiced obs with no voiceless eq.
Kela	kela1255	Apoze	dz	Voiced obs with no voiceless eq.
Tamil	tami1289	NA	ʐ	Voiced obs with no voiceless eq.
SUI	suii1243	NA	d̪̰|d̰ ʁ	Voiced obs with no voiceless eq.
BASHKIR	bash1264	NA	ʁ	Voiced obs with no voiceless eq.
Frisian	nort2626	Sölring North	ɡ	Has spirantizing plosives
KORYAK	kory1246	NA	ʝ	Voiced obs with no voiceless eq.
Karbi (Mikir)	karb1241	NA	ɦ	Voiced obs with no voiceless eq.
Tagalog	taga1270	NA	ɡ	Voiced obs with no voiceless eq.
Olkol	ulku1238	NA	ð ɣ	Voiced obs with no voiceless eq.
LUNGCHOW	nung1283	NA	d̪̰|d̰	Voiced obs with no voiceless eq.
Sa'ban	saba1265	NA	b d̠͈ʒ	Has spirantizing plosives; Voiced obs with no voiceless eq.
Mongolian	mong1331	Mongolian (Khalkha)	d̠ʒ d̪z̪ ɡ ɡʲ ɢ ɮ ɮʲ	Voiced obs with no voiceless eq.
Kui	kuii1252	NA	ɟʝ	Voiced obs with no voiceless eq.
PAPAGO	toho1245	NA	ɖ	Voiced obs with no voiceless eq.
Egyptian Arabic	egyp1253	NA	d̠ʒ ðˤ	Voiced obs with no voiceless eq.
Yadhaykenu	yadh1237	NA	ð	Voiced obs with no voiceless eq.
Burushaski	buru1296	Burushaski (Nagar)	ʐʲ	Voiced obs with no voiceless eq.
Angkamuthi	angg1238	NA	ð	Voiced obs with no voiceless eq.
Ngkoth	ngko1236	NA	ð	Voiced obs with no voiceless eq.
Mpalitjanh	mpal1238	NA	ð ɣ	Voiced obs with no voiceless eq.
FARSI	west2369	NA	d̪ ɡ ɢ	Voiced obs with no voiceless eq.
EYAK	eyak1241	NA	d̠ʒ d̪z̪|dz d̪|d d̪ɮ̪|dɮ ɡ ɡʷ ɢ	Voiced obs with no voiceless eq.
Yinwum	yinw1236	NA	ð ɣ	Voiced obs with no voiceless eq.
Luthigh	luth1234	NA	ð	Voiced obs with no voiceless eq.
Ronga	rong1268	NA	ɦ ʐʷ	Voiced obs with no voiceless eq.
Idu	idom1241	NA	d̠ʒʷ zʲ ɡʷʲ	Voiced obs with no voiceless eq.
Alngith	alng1239	NA	ð ɣ	Voiced obs with no voiceless eq.
Eastern Khanty	vach1239	Eastern Khanty (Vakh)	ʁ	Voiced obs with no voiceless eq.
YAREBA	yare1248	NA	dz	Voiced obs with no voiceless eq.
Walangama	wala1263	NA	ð	Voiced obs with no voiceless eq.
Laz	lazz1240	Laz (Borçka)	d̪ ɡ	Voiced obs with no voiceless eq.
Dimili	diml1238	NA	b d̠ʒ	Has spirantizing plosives
Awtuw	awtu1239	NA	d	Voiced obs with no voiceless eq.
Rimanggudinhma	mbar1253	NA	ð ɣ	Voiced obs with no voiceless eq.
Anguthimri	angu1242	NA	ð ʑ	Voiced obs with no voiceless eq.
ARMENIAN	nucl1235	NA	ʐ͇	Voiced obs with no voiceless eq.
Ogh Unyjan	kawa1290	NA	ð ɣ	Voiced obs with no voiceless eq.
Argobba	argo1244	NA	b d ɡ ɡ	Has spirantizing plosives; Voiced obs with no voiceless eq.
Takalak	ikar1243	NA	ð ʑ	Voiced obs with no voiceless eq.
Ikarranggal	ikar1243	NA	ð	Voiced obs with no voiceless eq.
Marti Ke	mart1254	NA	ð ʐ ʑ	Voiced obs with no voiceless eq.
Marringarr	mari1419	NA	ð ʐ ʑ	Voiced obs with no voiceless eq.
Aari	aari1239	NA	ɦ	Voiced obs with no voiceless eq.
Kuteb	kute1248	NA	d̠ʒ	Has spirantizing plosives
Jibbali	sheh1240	Jibbali (Central)	d ɡʲ	Voiced obs with no voiceless eq.
Soghpo Tibetan	kham1282	NA	ʱdz ʱdʑ ʱz ʱʐ ʷd ʷz ʷɟ ʷʐ ʷʑ	Voiced obs with no voiceless eq.
Burushaski	buru1296	Burushaski (Hunza)	ʐʲ	Voiced obs with no voiceless eq.
Petats	peta1245	Petats central	b ɡ	Has spirantizing plosives
Kanuri	cent2050	NA	b ɡ	Has spirantizing plosives
Najdi Arabic	najd1235	NA	ðˤ	Voiced obs with no voiceless eq.
Medumba	medu1238	NA	ɡ	Has spirantizing plosives
Turkish	nucl1301	Turkish (Standard)	d̠ʒ d̻ ɡ	Voiced obs with no voiceless eq.
Looma	loma1260	NA	d ɡ ɣ	Voiced obs with no voiceless eq.
Sui	suii1243	NA	ʁ	Voiced obs with no voiceless eq.
Basque	basq1248	Goizueta Basque	b b d̪ ɡ	Has both sonorous and voiceless allophone; Has spirantizing plosives
Yapese	yape1248	NA	θ̰	Voiced obs with no voiceless eq.
Tundra Nenets	nene1249	Tundra Nenets (Far Eastern)	dʲ	Voiced obs with no voiceless eq.
