LanguageName	Glottocode	SpecificDialect	OffendingSegments	ReasonsForInclusion
San Bartolomé Zoogocho Zapotec	zoog1238	zxon	ʁ	Voiced obs with no voiceless eq.
Yuma	quec1382	NA	ð	Voiced obs with no voiceless eq.
Korafe	kora1295	NA	d d̠ʒ ɡ ɣ	Voiced obs with no voiceless eq.
NGANASAN	ngan1291	NA	ð	Voiced obs with no voiceless eq.
AMELE	amel1241	NA	ʝ	Voiced obs with no voiceless eq.
georgian	nucl1302	Standard (or literary) georgian (Kartluri dialect)	d̪ ɡ	Voiced obs with no voiceless eq.
!Xóõ	huaa1248	NA	ɟ	Voiced obs with no voiceless eq.
Yukaghir (Kolyma)	sout2750	Southern	d̠ʒ ʁ	Has spirantizing plosives; Voiced obs with no voiceless eq.
Afrikaans	afri1274	NA	ɦ	Voiced obs with no voiceless eq.
Xumi	shix1238	Upper Xumi	b dz ɖʐ	Has both sonorous and voiceless allophone; Has spirantizing plosives
Bubia	bubi1249	NA	ʒ	Voiced obs with no voiceless eq.
Albanian	tosk1239	NA	ɟʝ	Has spirantizing plosives
Hup	hupd1244	NA	b̰ d̰ ɟ̰̩ ɡ̰	Has both sonorous and voiceless allophone
Hoava	hoav1238	NA	d̠ʒ	Voiced obs with no voiceless eq.
Kaliai	kali1299	NA	ɡɣ	Voiced obs with no voiceless eq.
Efutu	efut1241	NA	dᶣ	Voiced obs with no voiceless eq.
GA	gaaa1244	NA	d d̠ʒ ɡ	Voiced obs with no voiceless eq.
Toba (Argentina)	toba1269	NA	d ɡ	Voiced obs with no voiceless eq.
Upper Sorbian	uppe1395	NA	z̪ʲ	Voiced obs with no voiceless eq.
Yemsa	yems1235	NA	b ɡ	Has spirantizing plosives
Awetí	awet1244		ʐ	Voiced obs with no voiceless eq.
Tilquiapan Zapotec	tilq1235	NA	b d̪ ɡ	Has spirantizing plosives
BAI	cent2004	NA	z̪	Voiced obs with no voiceless eq.
Cheremis	east2328	NA	b d̪ ɡ	Has spirantizing plosives
Nsoʼ	lamn1239	NA	b ɣv	Has spirantizing plosives; Voiced obs with no voiceless eq.
Saotomense	saot1239	NA	z ʒ	Voiced obs with no voiceless eq.
Karo	karo1306	NA	b ɡ	Has spirantizing plosives
mongo-nkundu	mong1338	NA	d̠ʒ d̠ʒʷ	Voiced obs with no voiceless eq.
RUTUL	rutu1240	NA	d̠ʒ d̠ʒʷ d̪z̪|dz d̪|d ɡ ɡʷ ɢ ɢʷ ɢʷˤ ɢˤ	Voiced obs with no voiceless eq.
Manya	many1261	NA	d̠ʒ	Voiced obs with no voiceless eq.
Kashmiri	kash1277	NA	ɦ	Voiced obs with no voiceless eq.
Sipakapense Maya	sipa1247	NA	t̠ʃ̰	Voiced obs with no voiceless eq.
Tepehua	tlac1235	NA	t̠ʃ̰	Voiced obs with no voiceless eq.
Arandai	aran1237	NA	ɟ	Voiced obs with no voiceless eq.
Japanese	nucl1643	Japanese (Tokyo or other areas with similar pitch accent systems)	ɡ	Has spirantizing plosives
Lukundu	orok1266	NA	b	Has spirantizing plosives
Uyghur	uigh1240	Uyghur (Xinjiang)	ʁ	Voiced obs with no voiceless eq.
Telugu	telu1262	NA	d ɦ	Has spirantizing plosives; Voiced obs with no voiceless eq.
Ostyak	khan1273	NA	ɣ	Voiced obs with no voiceless eq.
Logba	logb1245	NA	ɦ	Voiced obs with no voiceless eq.
Tunica	tuni1252	NA	d ɡ	Voiced obs with no voiceless eq.
Boro	boro1277	NA	b d ɡ	Has spirantizing plosives; Voiced obs with no voiceless eq.
Kpɛlɛwoo	guin1254	NA	dʲ	Voiced obs with no voiceless eq.
Suri	suri1267	Tirmaga	b ɡ	Has spirantizing plosives
GUARANI	para1311	NA	ð	Voiced obs with no voiceless eq.
Gadsup	gads1258	NA	d	Voiced obs with no voiceless eq.
Punjabi	panj1256	NA	ɦ	Voiced obs with no voiceless eq.
Hindi-Urdu	hind1269	NA	ɦ ʒ	Voiced obs with no voiceless eq.
Oromo, Eastern	east2652	Harar	d dː ɡ	Voiced obs with no voiceless eq.
Huichol	huic1243	NA	ʐ	Voiced obs with no voiceless eq.
Wolof	nucl1347	NA	ɟː	Voiced obs with no voiceless eq.
LAK	lakk1252	NA	d̪|d ɡ ɢ ɢʷ	Voiced obs with no voiceless eq.
Japanese	nucl1643	NA	d̠ʒ	Has spirantizing plosives
Belait	bela1260	Metting	ʁ	Voiced obs with no voiceless eq.
Lebanese Arabic	liby1240	NA	ðˠ	Voiced obs with no voiceless eq.
mada	mada1282	NA	d ɡ	Voiced obs with no voiceless eq.
Mbiywom	mbiy1238	NA	ð ɣ	Voiced obs with no voiceless eq.
Wan	wann1242	NA	ɓ	Has spirantizing plosives
MBABARAM	mbab1239	NA	d̠ d̪|d ɡ ɡʷ	Voiced obs with no voiceless eq.
AWIYA	awng1244	NA	ɖ	Voiced obs with no voiceless eq.
Frafra	fraf1238	Gudeni	ɡ ɡ	Has spirantizing plosives; Voiced obs with no voiceless eq.
SINHALESE	sinh1246	NA	ɦ	Voiced obs with no voiceless eq.
Ibibio	ibib1240	Uruan area and Uyo	b d	Has spirantizing plosives; Voiced obs with no voiceless eq.
YANA	yana1271	NA	d̠ʒ d̪ ɡ	Voiced obs with no voiceless eq.
Amharic	amha1245	NA	b	Has spirantizing plosives
Kaiwá	kaiw1246		d̠ʒ	Voiced obs with no voiceless eq.
Xavánte	xava1240		ɣ	Voiced obs with no voiceless eq.
Jamsay, Dogon	jams1239	NA	d ɡ ɡ	Has spirantizing plosives; Voiced obs with no voiceless eq.
Kalabari; Kirike; Kalabari-Ijo	kala1381	Kalabari-Ijo	d̠ʒ ɦ	Voiced obs with no voiceless eq.
Garo	garo1247	NA	d ɡ ɡ	Has spirantizing plosives; Voiced obs with no voiceless eq.
Tigre	tigr1270	NA	d d̠ʒ ɡ	Voiced obs with no voiceless eq.
Mbara	mbar1254	NA	ð ʑ	Voiced obs with no voiceless eq.
Dongwang Tibetan	kham1282	NA	ɮ	Voiced obs with no voiceless eq.
Kanga (Kufa)	kang1288	Kufa	ɟː	Voiced obs with no voiceless eq.
Logbara	lugb1240	NA	ˀd̪	Voiced obs with no voiceless eq.
Luo	luok1236	NA	d d̠ʒ d̠ʒ d̪ð ɡ	Has spirantizing plosives; Voiced obs with no voiceless eq.
DOGON	toro1252	NA	d̠ʒ	Voiced obs with no voiceless eq.
Eloyi	eloy1241	NA	b d̠ʒ d̠ʒ	Has spirantizing plosives; Voiced obs with no voiceless eq.
Spanish	stan1288	Spanish (Castilian)	ɟʝ	Voiced obs with no voiceless eq.
Gaahmg	gaam1241	NA	dː d̪ː ɟː ɡː	Voiced obs with no voiceless eq.
FIJIAN	fiji1243	NA	ð	Voiced obs with no voiceless eq.
Mbo (Ekanang)	mboc1235	Ekanang	ɟ	Voiced obs with no voiceless eq.
Assamese	assa1263	NA	ɦ	Voiced obs with no voiceless eq.
MAZATEC	chiq1250	NA	ð	Voiced obs with no voiceless eq.
Khasi	khas1269	NA	ɟʝ ɟ̤ʝ	Voiced obs with no voiceless eq.
