Name	Code	Family	Area
Trinitario	trin1274	Arawakan	South America
Trió	trio1238	Cariban	South America
Trumai	trum1247	isolate	South America
Tsafiki	colo1256	Barbacoan	South America
Tsamai	tsam1247	Afro-Asiatic	Africa
Tsez	dido1241	Nakh-Daghestanian	Eurasia
Tshangla	tsha1245	Sino-Tibetan	Eurasia
Tsotso	tsot1241	Atlantic-Congo	Africa
Tsou	tsou1248	Austronesian	Papunesia
Tsuvadi	tsuv1239	Atlantic-Congo	Africa
Tu	tuuu1240	Mongolic	Eurasia
Tucano	tuca1252	Tucanoan	South America
Tukang Besi North	tuka1248	Austronesian	Papunesia
Tuki	tuki1240	Atlantic-Congo	Africa
Tulishi	tuli1249	Kadugli-Krongo	Africa
Tulu	tulu1258	Dravidian	Eurasia
Tumtum	tumt1243	Kadugli-Krongo	Africa
Tundra Nenets	nene1249	Uralic	Eurasia
Tunen	tune1261	Atlantic-Congo	Africa
Tunia	tuni1251	Atlantic-Congo	Africa
Tunica	tuni1252	isolate	North America
Tuparí	tupa1250	Tupian	South America
Tupinambá	tupi1273	Tupian	South America
Tupuri	tupu1244	Atlantic-Congo	Africa
Turkish	nucl1301	Turkic	Eurasia
Turkmen	turk1304	Turkic	Eurasia
Tuvinian	tuvi1240	Turkic	Eurasia
Tuyuca	tuyu1244	Tucanoan	South America
Tweed-Albert	twee1234	Pama-Nyungan	Australia
Tyanngayt-Mamngayt-Ntrwangayt-Ntrangit	tyan1235	Pama-Nyungan	Australia
Tzeltal	tzel1254	Mayan	North America
Tzotzil	tzot1259	Mayan	North America
Tz'utujil	tzut1248	Mayan	North America
Ucayali-Yurúa Ashéninka	ucay1237	Arawakan	South America
Udihe	udih1248	Tungusic	Eurasia
Udmurt	udmu1245	Uralic	Eurasia
Uduk	uduk1239	Koman	Africa
Uighur	uigh1240	Turkic	Eurasia
Ukrainian	ukra1253	Indo-European	Eurasia
Ulkulu	ulku1238	Pama-Nyungan	Australia
Ulwa	ulwa1239	Misumalpan	North America
Umbugarla	umbu1235	isolate	Australia
Umbundu	umbu1257	Atlantic-Congo	Africa
Umbuygamu	umbu1256	Pama-Nyungan	Australia
Umiida	umii1236	Worrorran	Australia
Umotína	umot1240	Bororoan	South America
Umpila	umpi1239	Pama-Nyungan	Australia
Unami	unam1242	Algic	North America
Unggumi	ungg1243	Worrorran	Australia
Upper Chehalis	uppe1439	Salishan	North America
Upper Guinea Crioulo	uppe1455	Indo-European	Africa
Upper Saxon	uppe1400	Indo-European	Eurasia
Upper Sorbian	uppe1395	Indo-European	Eurasia
Urali of Idukki	ural1274	Dravidian	Eurasia
Urarina	urar1246	isolate	South America
Urdu	urdu1245	Indo-European	Eurasia
Uri	urii1240	Nuclear Trans New Guinea	Papunesia
Urningangg	urni1239	Giimbiyu	Australia
Uru	uruu1244	Uru-Chipaya	South America
